N_cajeros,N_clientes,% Utilizacion, N_clientes_perdidos,N_clientes_tarjeta, T_total
1,21,94.20432912282445,36,6,56.52259747369467
1,17,98.56099148937226,47,6,59.13659489362336
1,34,78.69395673206793,26,12,47.21637403924076
1,31,92.38622480255721,15,7,55.43173488153433
1,19,91.41794366283858,40,6,54.850766197703145
1,2,44.2681515347381,18,2,26.560890920842862
1,8,63.98183905688941,25,1,38.389103434133645
1,9,92.14946489709686,39,4,55.28967893825812
1,45,94.74087335330039,15,14,56.84452401198023
1,21,88.04448711184354,25,3,52.826692267106125
1,29,92.808857725967,27,11,55.6853146355802
1,32,91.75415567200622,10,14,55.052493403203734
1,15,94.57535490338418,39,4,56.745212942030506
1,9,94.48139945407179,39,4,56.68883967244307
1,4,39.56626245759315,13,2,23.73975747455589
1,13,95.3738785795376,43,5,57.22432714772256
1,13,95.77699480831046,43,3,57.46619688498628
1,12,87.43247543571329,33,2,52.45948526142797
1,5,48.22539203992068,13,1,28.935235223952407
1,20,99.64848947304732,60,5,59.78909368382839
1,29,92.48685408848233,25,11,55.4921124530894
1,17,90.50797387834524,42,4,54.30478432700714
1,17,75.25307071591881,26,3,45.15184242955129
1,15,90.14200630683446,37,5,54.08520378410068
1,43,74.38217351543356,9,11,44.62930410926013
1,45,91.32072016023265,10,18,54.7924320961396
1,59,88.55075508311728,6,16,53.13045304987037
1,46,89.09802643378735,24,19,53.458815860272416
1,45,91.15952852390662,14,11,54.69571711434397
1,49,92.45630441368655,13,17,55.47378264821193
1,17,86.70299159363339,26,6,52.02179495618003
1,13,98.97749944349127,42,4,59.386499666094764
1,26,93.47097466836891,31,8,56.08258480102135
1,16,37.94894298450035,11,5,22.76936579070021
1,28,96.81384494027017,32,9,58.0883069641621
1,19,83.84356678174838,34,8,50.30614006904903
1,36,76.7628248232413,22,12,46.057694893944785
1,33,92.84748894827757,27,9,55.70849336896654
1,35,92.29540151027446,20,16,55.37724090616467
1,28,93.7270333518661,31,7,56.236220011119656
1,32,88.0050310027313,23,14,52.803018601638776
1,31,94.93934600867144,23,11,56.96360760520286
1,20,96.28577580365516,34,7,57.77146548219309
1,11,85.34423534571742,46,4,51.206541207430455
1,14,90.18912236982895,44,3,54.11347342189737
1,12,97.9520856289548,52,2,58.77125137737288
1,18,95.36888418265659,29,4,57.221330509593955
1,14,69.94372301904765,17,5,41.966233811428594
1,15,93.13198005844409,41,6,55.87918803506645
1,15,97.5851586219298,53,1,58.55109517315789
1,17,98.32109680780347,43,7,58.99265808468208
1,15,82.56261193828219,28,3,49.53756716296931
1,20,83.87630373203389,25,6,50.32578223922033
1,22,84.89948508860064,19,5,50.93969105316039
1,23,99.33572313254035,30,11,59.601433879524215
1,30,95.62542408534782,14,8,57.37525445120869
1,25,94.92509831345608,31,4,56.95505898807364
1,13,85.34255492694491,50,4,51.20553295616695
1,21,90.62683806934285,26,6,54.376102841605714
1,30,90.2589075518961,23,11,54.155344531137665
1,29,96.20973338631062,33,6,57.72584003178637
1,30,92.71562918779773,25,9,55.62937751267864
1,15,96.99301070249274,60,5,58.19580642149564
1,22,78.70346558004854,25,4,47.222079348029126
1,33,85.106182460545,17,9,51.063709476327
1,30,92.50310383859134,17,12,55.5018623031548
1,32,94.16347283065588,16,9,56.49808369839352
1,18,96.31899357656344,34,4,57.79139614593807
1,19,99.58686830960225,47,8,59.75212098576135
1,30,89.21473474798593,29,7,53.52884084879156
1,24,99.72678223533634,32,7,59.83606934120181
1,41,95.5954942397406,22,13,57.35729654384436
1,17,84.98168921034855,33,7,50.98901352620913
1,19,88.17782980103466,32,7,52.9066978806208
1,17,89.98545114559111,38,5,53.991270687354664
1,10,71.66021855957358,42,2,42.99613113574415
1,16,78.07274400274858,28,5,46.84364640164915
3,46,78.54018955776374,8,12,141.37234120397474
1,14,79.03715720161532,38,3,47.422294320969186
1,15,97.0007028076633,39,3,58.20042168459798
